Name,#Images,#Recognised images,Percent of recognising
Torri_Edwards,2,2,100.0
Flavia_Delaroli,2,2,100.0
Alex_Holmes,1,1,100.0
Emilio_Azcarraga_Jean,1,1,100.0
David_Dewhurst,1,1,100.0
Martha_Smith,1,1,100.0
Kevin_Satterfield,1,1,100.0
Nelson_Mandela,4,4,100.0
Travis_Rudolph,1,1,100.0
Johnny_Benson,1,1,100.0
Josh_Evans,1,1,100.0
Billy_Tibbets,1,1,100.0
Casey_Crowder,1,1,100.0
Mario_Dumont,2,2,100.0
Kurt_Suzuki,1,1,100.0
George_Robertson,22,22,100.0
Penelope_Taylor,1,1,100.0
Viktor_Yushchenko,1,1,100.0
Blythe_Hartley,2,2,100.0
William_Delahunt,1,1,100.0
Yale_Kamisar,1,1,100.0
Walter_Mondale,9,9,100.0
Gerard_Butler,1,1,100.0
Gerald_Calabrese,1,1,100.0
Roy_Williams,4,4,100.0
Desmon_Farmer,1,1,100.0
Tono_Suratman,1,1,100.0
Andy_Wisecarver,1,1,100.0
Perry_Compton,1,1,100.0
Marie_Haghal,1,1,100.0
Hanns_Schumacher,1,1,100.0
Joshua_Gracin,1,1,100.0
Michael_Smith_Foster,1,1,100.0
Michael_Kors,1,1,100.0
Imre_Kertasz,1,1,100.0
Vincent_Brooks,7,7,100.0
Warren_Beatty,2,2,100.0
Marsha_Sharp,1,1,100.0
Gerardo_Gambala,2,2,100.0
Harry_Belafonte,2,2,100.0
Andrzej_Tyszkiewicz,1,1,100.0
Alexander_Losyukov,4,4,100.0
Tim_Howard,1,1,100.0
Earl_Campbell,1,1,100.0
Jorge_Castaneda,2,2,100.0
Winston_Churchill,1,1,100.0
Miguel_Hakim,1,1,100.0
Brett_Hull,1,1,100.0
Charles_Schumer,2,2,100.0
Jo_Dee_Messina,2,2,100.0
Sheldon_Silver,1,1,100.0
Anderson_Varejao,1,1,100.0
Norm_Macdonald,1,1,100.0
Thomas_Haeggstroem,1,1,100.0
Mirela_Manjani,1,1,100.0
Mariana_Gonzalez,1,1,100.0
Aaron_Peirsol,4,4,100.0
Michelle_Lecky,1,1,100.0
Mary_Maddux,1,1,100.0
Sharon_Osbourne,3,3,100.0
Val_Ackerman,1,1,100.0
Alina_Kabaeva,1,1,100.0
Nathalie_Dechy,1,1,100.0
Danny_Green,1,1,100.0
Anette_Hosoi,1,1,100.0
Thomas_Klestil,1,1,100.0
Andy_Griffith,1,1,100.0
Toutai_Kefu,1,1,100.0
Carol_Carmody,1,1,100.0
Natalia_Motuziuk,1,1,100.0
Max_Baucus,1,1,100.0
Kirsten_Clark,1,1,100.0
Dean_Barker,1,1,100.0
Paul_Brandt,1,1,100.0
Amanda_Beard,2,2,100.0
Pedro_Almodovar,7,7,100.0
Nicanor_Duarte_Frutos,11,11,100.0
Tim_Jones,1,1,100.0
Carlton_Dotson,1,1,100.0
Martha_Lucia_Ramirez,4,4,100.0
Mike_Matheny,1,1,100.0
Brenda_Wilson,1,1,100.0
Bob_Alper,1,1,100.0
Vin_Diesel,2,2,100.0
Laura_Bush,41,37,90.2439024390244
Michael_Chiklis,5,5,100.0
Jacqueline_Obradors,2,2,100.0
Sarah_Wynter,1,1,100.0
Nathirah_Hussein,1,1,100.0
Ali_Abdullah_Saleh,1,1,100.0
Brian_Cashman,1,1,100.0
Landon_Donovan,1,1,100.0
Hal_McCoy,1,1,100.0
Inocencio_Arias,2,2,100.0
Marie-Josee_Croze,1,1,100.0
Nursultan_Nazarbayev,2,2,100.0
Maribel_Dominguez,1,1,100.0
Paulo_Cesar_Pinheiro,2,2,100.0
Kirk_Ferentz,2,2,100.0
Nina_Pecari,1,1,100.0
Kent_McCord,1,1,100.0
Hank_Aaron,1,1,100.0
Mariana_Pollack,3,3,100.0
Natalie_Imbruglia,1,1,100.0
Tony_Elias,1,1,100.0
Eric_Fehr,1,1,100.0
Mike_Samp,1,1,100.0
E_Clay_Shaw,1,1,100.0
Chen_Kaige,1,1,100.0
Jose_Cevallos,1,1,100.0
Alexandre_Herchcovitch,1,1,100.0
Mark_Schweiker,2,2,100.0
Sepp_Blatter,4,4,100.0
Matt_Morris,1,1,100.0
Andrew_Fastow,1,1,100.0
