Name,Images of Name,True Positives,Percent TP,False Negatives,Percent FN,False positives,Total faces,Percent FP
Urmila_Matondkar,1,1,100.0,0,0.0,1,6688,0.0
Tian_Liang,1,1,100.0,0,0.0,1,6688,0.0
Vernon_Forrest,1,1,100.0,0,0.0,15,6688,0.2
Daniell_Sunjata,1,1,100.0,0,0.0,0,6688,0.0
David_Howard,1,1,100.0,0,0.0,4,6688,0.1
Erika_Christensen,2,2,100.0,0,0.0,5,6688,0.1
Dianne_Feinstein,3,3,100.0,0,0.0,0,6688,0.0
Ornella_Muti,1,1,100.0,0,0.0,1,6688,0.0
Hamid_Efendi,1,1,100.0,0,0.0,5,6688,0.1
Anatoliy_Kinakh,1,1,100.0,0,0.0,8,6688,0.1
Sam_Rockwell,1,1,100.0,0,0.0,4,6688,0.1
Noelle_Bush,4,4,100.0,0,0.0,2,6688,0.0
Andy_Bryant,1,1,100.0,0,0.0,10,6688,0.1
Kyle_Shewfelt,1,1,100.0,0,0.0,10,6688,0.1
Brenda_van_Dam,1,1,100.0,0,0.0,5,6688,0.1
Lane_Odom,1,1,100.0,0,0.0,2,6688,0.0
Paul_LeClerc,1,1,100.0,0,0.0,0,6688,0.0
Penelope_Taylor,1,1,100.0,0,0.0,2,6688,0.0
Marvan_Atapattu,1,1,100.0,0,0.0,0,6688,0.0
Jose_Theodore,2,1,50.0,1,50.0,4,6688,0.1
Aaron_Sorkin,2,2,100.0,0,0.0,0,6688,0.0
Brandon_Lloyd,1,1,100.0,0,0.0,19,6688,0.3
Alejandro_Fernandez,1,1,100.0,0,0.0,3,6688,0.0
David_Myers,2,2,100.0,0,0.0,6,6688,0.1
Shania_Twain,1,1,100.0,0,0.0,2,6688,0.0
Bill_Nelson,2,2,100.0,0,0.0,9,6688,0.1
Eugene_Melnyk,1,1,100.0,0,0.0,16,6688,0.2
Todd_Haynes,4,3,75.0,1,25.0,1,6688,0.0
Milton_Berle,1,1,100.0,0,0.0,13,6688,0.2
Natalie_Stewart,1,1,100.0,0,0.0,0,6688,0.0
Mike_Carona,1,1,100.0,0,0.0,15,6688,0.2
Din_Samsudin,1,1,100.0,0,0.0,17,6688,0.3
Michael_Jasny,1,1,100.0,0,0.0,10,6688,0.1
Dennis_Kucinich,7,7,100.0,0,0.0,10,6688,0.1
Juanes,3,2,66.7,1,33.3,0,6688,0.0
Landon_Donovan,1,1,100.0,0,0.0,1,6688,0.0
Mehmet_Ali_Sahin,1,1,100.0,0,0.0,0,6688,0.0
Donatella_Versace,2,2,100.0,0,0.0,1,6688,0.0
Mario_Kreutzberger,2,1,50.0,1,50.0,8,6688,0.1
Mick_Jagger,5,4,80.0,1,20.0,2,6688,0.0
Infanta_Cristina,1,1,100.0,0,0.0,1,6688,0.0
Ivo_Dubs,1,1,100.0,0,0.0,3,6688,0.0
Nobuyuki_Idei,1,1,100.0,0,0.0,35,6688,0.5
Rudolf_Schuster,1,1,100.0,0,0.0,9,6688,0.1
Michael_Smith_Foster,1,1,100.0,0,0.0,1,6688,0.0
Bridgette_Wilson-Sampras,3,1,33.3,2,66.7,0,6688,0.0
Mike_Smith,1,1,100.0,0,0.0,10,6688,0.1
Dick_Vermeil,2,1,50.0,1,50.0,3,6688,0.0
Chen_Liang_Yu,2,2,100.0,0,0.0,8,6688,0.1
Timbul_Silaen,1,1,100.0,0,0.0,1,6688,0.0
Bob_Iger,1,1,100.0,0,0.0,3,6688,0.0
Kenny_Brack,1,1,100.0,0,0.0,4,6688,0.1
Tom_Reilly,3,3,100.0,0,0.0,0,6688,0.0
Eugene_Teslovic,1,1,100.0,0,0.0,7,6688,0.1
Billy_Boyd,1,1,100.0,0,0.0,1,6688,0.0
Matthew_During,1,1,100.0,0,0.0,3,6688,0.0
Heather_Chinnock,1,1,100.0,0,0.0,1,6688,0.0
