Name,Images of Name,True Positives,Percent TP,False Negatives,Percent FN,False positives,Total faces,Percent FP
Michael_Shane_Jolly,1,0,0.0,1,100.0,1279,6688,19.1
Boris_Berezovsky,2,2,100.0,0,0.0,1884,6688,28.2
Turner_Gill,1,0,0.0,1,100.0,1265,6688,18.9
Serena_Williams,52,3,5.8,49,94.2,248,6688,3.7
Klaus_Schwab,1,0,0.0,1,100.0,808,6688,12.1
Irv_Nathan,1,0,0.0,1,100.0,2004,6688,30.0
Kurt_Tanabe,1,0,0.0,1,100.0,169,6688,2.5
Thomas_Bjorn,2,1,50.0,1,50.0,1588,6688,23.7
Brenda_Magana,1,0,0.0,1,100.0,2461,6688,36.8
George_Tenet,2,1,50.0,1,50.0,1164,6688,17.4
Nancy_Kerrigan,1,0,0.0,1,100.0,210,6688,3.1
Ernie_Preate,1,1,100.0,0,0.0,1281,6688,19.2
Francis_Ricciardone,1,1,100.0,0,0.0,1985,6688,29.7
Lesia_Burlak,1,0,0.0,1,100.0,2638,6688,39.4
Geoffrey_Davis,1,0,0.0,1,100.0,2182,6688,32.6
Carol_Moseley_Braun,2,1,50.0,1,50.0,2235,6688,33.4
Nancy_Pelosi,15,6,40.0,9,60.0,1349,6688,20.2
Mary_Anne_Souza,1,0,0.0,1,100.0,739,6688,11.0
Matt_Braker,1,0,0.0,1,100.0,2236,6688,33.4
Tiffany_Limos,1,0,0.0,1,100.0,1852,6688,27.7
Carla_Gugino,1,0,0.0,1,100.0,2515,6688,37.6
Martha_Martinez_Flores,1,0,0.0,1,100.0,174,6688,2.6
Tim_Allen,4,1,25.0,3,75.0,2638,6688,39.4
Mike_Leach,1,0,0.0,1,100.0,1438,6688,21.5
Miguel_Rosseto,1,1,100.0,0,0.0,1854,6688,27.7
Jose_Canseco,3,1,33.3,2,66.7,1531,6688,22.9
Mark_Gottfried,3,0,0.0,3,100.0,1796,6688,26.9
Hasan_Wirayuda,1,0,0.0,1,100.0,53,6688,0.8
Brian_Clemens,1,1,100.0,0,0.0,1666,6688,24.9
William_Perry,1,1,100.0,0,0.0,878,6688,13.1
George_Maxwell_Richards,1,1,100.0,0,0.0,1211,6688,18.1
Alfonso_Cuaron,1,0,0.0,1,100.0,367,6688,5.5
Tony_Fernandes,1,0,0.0,1,100.0,1844,6688,27.6
Dyana_Calub,1,0,0.0,1,100.0,252,6688,3.8
Tyler_Grillo,1,0,0.0,1,100.0,940,6688,14.1
Julio_Iglesias_Jr,2,1,50.0,1,50.0,721,6688,10.8
Noer_Muis,1,1,100.0,0,0.0,1651,6688,24.7
Wallace_Capel,1,0,0.0,1,100.0,1767,6688,26.4
